State,Level,Name,TRU,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT
2,STATE,HIMACHAL PRADESH,Urban,688552,371528,317024,568000,314769,253231
2,DISTRICT,Chamba,Total,519080,261320,257760,323842,186064,137778
2,DISTRICT,Chamba,Rural,482972,241963,241009,293683,169271,124412
2,DISTRICT,Chamba,Urban,36108,19357,16751,30159,16793,13366
2,DISTRICT,Kangra,Total,1510075,750591,759484,1152640,606443,546197
2,DISTRICT,Kangra,Rural,1423794,705365,718429,1082442,568564,513878
2,DISTRICT,Kangra,Urban,86281,45226,41055,70198,37879,32319
2,DISTRICT,Lahul & Spiti,Total,31564,16588,14976,21845,12897,8948
2,DISTRICT,Lahul & Spiti,Rural,31564,16588,14976,21845,12897,8948
2,DISTRICT,Lahul & Spiti,Urban,0,0,0,0,0,0
2,DISTRICT,Kullu,Total,437903,225452,212451,307672,174550,133122
2,DISTRICT,Kullu,Rural,396512,203269,193243,274741,156267,118474
2,DISTRICT,Kullu,Urban,41391,22183,19208,32931,18283,14648
2,DISTRICT,Mandi,Total,999777,498065,501712,723747,393669,330078
2,DISTRICT,Mandi,Rural,937140,466050,471090,671588,366395,305193
2,DISTRICT,Mandi,Urban,62637,32015,30622,52159,27274,24885
2,DISTRICT,Hamirpur,Total,454768,217070,237698,358091,180555,177536
2,DISTRICT,Hamirpur,Rural,423338,200748,222590,331719,166483,165236
2,DISTRICT,Hamirpur,Urban,31430,16322,15108,26372,14072,12300
2,DISTRICT,Una,Total,521173,263692,257481,399715,213281,186434
2,DISTRICT,Una,Rural,476260,240254,236006,364981,194476,170505
2,DISTRICT,Una,Urban,44913,23438,21475,34734,18805,15929
2,DISTRICT,Bilaspur,Total,381956,192764,189192,287620,155599,132021
2,DISTRICT,Bilaspur,Rural,356827,179653,177174,266816,144487,122329
2,DISTRICT,Bilaspur,Urban,25129,13111,12018,20804,11112,9692
2,DISTRICT,Solan,Total,580320,308754,271566,428578,244372,184206
2,DISTRICT,Solan,Rural,478173,249736,228437,346074,195211,150863
2,DISTRICT,Solan,Urban,102147,59018,43129,82504,49161,33343
2,DISTRICT,Sirmaur,Total,529855,276289,253566,362645,205617,157028
2,DISTRICT,Sirmaur,Rural,472690,246175,226515,316436,180611,135825
2,DISTRICT,Sirmaur,Urban,57165,30114,27051,46209,25006,21203
2,DISTRICT,Shimla,Total,814010,425039,388971,612642,342846,269796
2,DISTRICT,Shimla,Rural,612659,314295,298364,440712,246462,194250
2,DISTRICT,Shimla,Urban,201351,110744,90607,171930,96384,75546
2,DISTRICT,Kinnaur,Total,84121,46249,37872,60699,36697,24002
2,DISTRICT,Kinnaur,Rural,84121,46249,37872,60699,36697,24002
2,DISTRICT,Kinnaur,Urban,0,0,0,0,0,0
3,STATE,PUNJAB,Total,27743338,14639465,13103873,18707137,10436056,8271081
3,STATE,PUNJAB,Rural,17344192,9093476,8250716,10997657,6158807,4838850
3,STATE,PUNJAB,Urban,10399146,5545989,4853157,7709480,4277249,3432231
3,DISTRICT,Gurdaspur,Total,2298323,1212617,1085706,1634719,907660,727059
3,DISTRICT,Gurdaspur,Rural,1639004,855784,783220,1116537,616852,499685
3,DISTRICT,Gurdaspur,Urban,659319,356833,302486,518182,290808,227374
3,DISTRICT,Kapurthala ,Total,815168,426311,388857,576567,316254,260313
3,DISTRICT,Kapurthala ,Rural,532706,275932,256774,360776,196919,163857
3,DISTRICT,Kapurthala ,Urban,282462,150379,132083,215791,119335,96456
3,DISTRICT,Jalandhar,Total,2193590,1145211,1048379,1622537,882581,739956
3,DISTRICT,Jalandhar,Rural,1032419,528790,503629,728134,392867,335267
3,DISTRICT,Jalandhar,Urban,1161171,616421,544750,894403,489714,404689
3,DISTRICT,Hoshiarpur,Total,1586625,809057,777568,1199699,637927,561772
3,DISTRICT,Hoshiarpur,Rural,1251656,634470,617186,935835,496632,439203
3,DISTRICT,Hoshiarpur,Urban,334969,174587,160382,263864,141295,122569
3,DISTRICT,Shahid Bhagat Singh Nagar ,Total,612310,313291,299019,438459,239155,199304
3,DISTRICT,Shahid Bhagat Singh Nagar ,Rural,486894,248118,238776,345595,188612,156983
3,DISTRICT,Shahid Bhagat Singh Nagar ,Urban,125416,65173,60243,92864,50543,42321
3,DISTRICT,Fatehgarh Sahib,Total,600163,320795,279368,426033,238696,187337
3,DISTRICT,Fatehgarh Sahib,Rural,414681,220050,194631,288340,160922,127418
3,DISTRICT,Fatehgarh Sahib,Urban,185482,100745,84737,137693,77774,59919
3,DISTRICT,Ludhiana,Total,3498739,1867816,1630923,2560225,1428348,1131877
3,DISTRICT,Ludhiana,Rural,1429031,753444,675587,1002069,557296,444773
3,DISTRICT,Ludhiana,Urban,2069708,1114372,955336,1558156,871052,687104
3,DISTRICT,Moga,Total,995746,525920,469826,627889,348549,279340
3,DISTRICT,Moga,Rural,768500,405704,362796,468003,260725,207278
3,DISTRICT,Moga,Urban,227246,120216,107030,159886,87824,72062
3,DISTRICT,Firozpur,Total,2029074,1071637,957437,1227511,707070,520441
3,DISTRICT,Firozpur,Rural,1476518,776208,700310,840820,489462,351358
3,DISTRICT,Firozpur,Urban,552556,295429,257127,386691,217608,169083
3,DISTRICT,Muktsar,Total,901896,475622,426274,524848,300401,224447
3,DISTRICT,Muktsar,Rural,649705,342202,307503,355161,204933,150228
3,DISTRICT,Muktsar,Urban,252191,133420,118771,169687,95468,74219
3,DISTRICT,Faridkot,Total,617508,326671,290837,381285,215767,165518
3,DISTRICT,Faridkot,Rural,400457,210782,189675,229799,130300,99499
3,DISTRICT,Faridkot,Urban,217051,115889,101162,151486,85467,66019
3,DISTRICT,Bathinda,Total,1388525,743197,645328,844868,488261,356607
3,DISTRICT,Bathinda,Rural,889308,474484,414824,493192,287532,205660
3,DISTRICT,Bathinda,Urban,499217,268713,230504,351676,200729,150947
3,DISTRICT,Mansa,Total,769751,408732,361019,423560,244037,179523
3,DISTRICT,Mansa,Rural,606147,322184,283963,313244,182103,131141
3,DISTRICT,Mansa,Urban,163604,86548,77056,110316,61934,48382
3,DISTRICT,Patiala,Total,1895686,1002522,893164,1266791,711052,555739
3,DISTRICT,Patiala,Rural,1132406,598800,533606,688838,393440,295398
3,DISTRICT,Patiala,Urban,763280,403722,359558,577953,317612,260341
3,DISTRICT,Amritsar ,Total,2490656,1318408,1172248,1684770,932981,751789
3,DISTRICT,Amritsar ,Rural,1156045,607266,548779,689447,386035,303412
3,DISTRICT,Amritsar ,Urban,1334611,711142,623469,995323,546946,448377
3,DISTRICT,Tarn Taran,Total,1119627,589369,530258,666162,376427,289735
3,DISTRICT,Tarn Taran,Rural,977832,514322,463510,570113,323165,246948
3,DISTRICT,Tarn Taran,Urban,141795,75047,66748,96049,53262,42787
3,DISTRICT,Rupnagar,Total,684627,357485,327142,502731,278534,224197
3,DISTRICT,Rupnagar,Rural,506820,264089,242731,364922,203376,161546
3,DISTRICT,Rupnagar,Urban,177807,93396,84411,137809,75158,62651
3,DISTRICT,Sahibzada Ajit Singh Nagar,Total,994628,529253,465375,736575,409944,326631
3,DISTRICT,Sahibzada Ajit Singh Nagar,Rural,450017,240984,209033,313569,178533,135036
3,DISTRICT,Sahibzada Ajit Singh Nagar,Urban,544611,288269,256342,423006,231411,191595
3,DISTRICT,Sangrur,Total,1655169,878029,777140,1002077,570413,431664
3,DISTRICT,Sangrur,Rural,1139204,604653,534551,658857,377587,281270
3,DISTRICT,Sangrur,Urban,515965,273376,242589,343220,192826,150394
3,DISTRICT,Barnala,Total,595527,317522,278005,359831,201999,157832
3,DISTRICT,Barnala,Rural,404842,215210,189632,234406,131516,102890
3,DISTRICT,Barnala,Urban,190685,102312,88373,125425,70483,54942
4,STATE,CHANDIGARH,Total,1055450,580663,474787,805438,465346,340092
4,STATE,CHANDIGARH,Rural,28991,17150,11841,19961,12752,7209
4,STATE,CHANDIGARH,Urban,1026459,563513,462946,785477,452594,332883
4,DISTRICT,Chandigarh,Total,1055450,580663,474787,805438,465346,340092
4,DISTRICT,Chandigarh,Rural,28991,17150,11841,19961,12752,7209
4,DISTRICT,Chandigarh,Urban,1026459,563513,462946,785477,452594,332883
5,STATE,UTTARAKHAND,Total,10086292,5137773,4948519,6880953,3863708,3017245
5,STATE,UTTARAKHAND,Rural,7036954,3519042,3517912,4614050,2596171,2017879
5,STATE,UTTARAKHAND,Urban,3049338,1618731,1430607,2266903,1267537,999366
5,DISTRICT,Uttarkashi,Total,330086,168597,161489,215126,128237,86889
5,DISTRICT,Uttarkashi,Rural,305781,155375,150406,195909,117095,78814
5,DISTRICT,Uttarkashi,Urban,24305,13222,11083,19217,11142,8075
5,DISTRICT,Chamoli,Total,391605,193991,197614,280556,155395,125161
5,DISTRICT,Chamoli,Rural,332209,160369,171840,232303,126871,105432
5,DISTRICT,Chamoli,Urban,59396,33622,25774,48253,28524,19729
5,DISTRICT,Rudraprayag,Total,242285,114589,127696,170933,91803,79130
5,DISTRICT,Rudraprayag,Rural,232360,108740,123620,162944,86853,76091
5,DISTRICT,Rudraprayag,Urban,9925,5849,4076,7989,4950,3039
5,DISTRICT,Tehri Garhwal,Total,618931,297986,320945,407994,227406,180588
5,DISTRICT,Tehri Garhwal,Rural,548792,259381,289411,352776,195356,157420
5,DISTRICT,Tehri Garhwal,Urban,70139,38605,31534,55218,32050,23168
5,DISTRICT,Dehradun,Total,1696694,892199,804495,1259506,702216,557290
5,DISTRICT,Dehradun,Rural,754753,392891,361862,517836,292382,225454
5,DISTRICT,Dehradun,Urban,941941,499308,442633,741670,409834,331836
5,DISTRICT,Garhwal,Total,687271,326829,360442,494889,262148,232741
5,DISTRICT,Garhwal,Rural,574568,268029,306539,404558,213355,191203
5,DISTRICT,Garhwal,Urban,112703,58800,53903,90331,48793,41538
5,DISTRICT,Pithoragarh,Total,483439,239306,244133,345550,189623,155927
5,DISTRICT,Pithoragarh,Rural,413834,202930,210904,289256,159729,129527
5,DISTRICT,Pithoragarh,Urban,69605,36376,33229,56294,29894,26400
5,DISTRICT,Bageshwar,Total,259898,124326,135572,179483,97546,81937
5,DISTRICT,Bageshwar,Rural,250819,119615,131204,172166,93588,78578
5,DISTRICT,Bageshwar,Urban,9079,4711,4368,7317,3958,3359
5,DISTRICT,Almora,Total,622506,291081,331425,436497,231604,204893
5,DISTRICT,Almora,Rural,560192,257359,302833,383089,201819,181270
5,DISTRICT,Almora,Urban,62314,33722,28592,53408,29785,23623
5,DISTRICT,Champawat,Total,259648,131125,128523,177726,102015,75711
5,DISTRICT,Champawat,Rural,221305,110842,110463,149910,86379,63531
5,DISTRICT,Champawat,Urban,38343,20283,18060,27816,15636,12180
5,DISTRICT,Nainital,Total,954605,493666,460939,696500,385779,310721
5,DISTRICT,Nainital,Rural,582871,299257,283614,417970,234254,183716
5,DISTRICT,Nainital,Urban,371734,194409,177325,278530,151525,127005
5,DISTRICT,Udham Singh Nagar,Total,1648902,858783,790119,1037839,598525,439314
5,DISTRICT,Udham Singh Nagar,Rural,1062142,550470,511672,652717,379437,273280
5,DISTRICT,Udham Singh Nagar,Urban,586760,308313,278447,385122,219088,166034
5,DISTRICT,Hardwar,Total,1890422,1005295,885127,1178354,691411,486943
5,DISTRICT,Hardwar,Rural,1197328,633784,563544,682616,409053,273563
5,DISTRICT,Hardwar,Urban,693094,371511,321583,495738,282358,213380
6,STATE,HARYANA,Total,25351462,13494734,11856728,16598988,9794067,6804921
6,STATE,HARYANA,Rural,16509359,8774006,7735353,10158442,6140099,4018343
6,STATE,HARYANA,Urban,8842103,4720728,4121375,6440546,3653968,2786578
6,DISTRICT,Panchkula,Total,561293,299679,261614,405318,229862,175456
6,DISTRICT,Panchkula,Rural,248063,133153,114910,163427,95926,67501
6,DISTRICT,Panchkula,Urban,313230,166526,146704,241891,133936,107955
6,DISTRICT,Ambala,Total,1128350,598703,529647,818025,461288,356737
6,DISTRICT,Ambala,Rural,627576,331703,295873,426642,244282,182360
6,DISTRICT,Ambala,Urban,500774,267000,233774,391383,217006,174377
6,DISTRICT,Yamunanagar,Total,1214205,646718,567487,832457,474793,357664
6,DISTRICT,Yamunanagar,Rural,741376,393957,347419,477813,276833,200980
6,DISTRICT,Yamunanagar,Urban,472829,252761,220068,354644,197960,156684
6,DISTRICT,Kurukshetra,Total,964655,510976,453679,646893,370828,276065
6,DISTRICT,Kurukshetra,Rural,685430,361020,324410,437671,253287,184384
6,DISTRICT,Kurukshetra,Urban,279225,149956,129269,209222,117541,91681
6,DISTRICT,Kaithal,Total,1074304,571003,503301,646529,385782,260747
6,DISTRICT,Kaithal,Rural,838293,445931,392362,485223,293066,192157
6,DISTRICT,Kaithal,Urban,236011,125072,110939,161306,92716,68590
6,DISTRICT,Karnal,Total,1505324,797712,707612,978013,564516,413497
6,DISTRICT,Karnal,Rural,1050514,557110,493404,647883,380886,266997
6,DISTRICT,Karnal,Urban,454810,240602,214208,330130,183630,146500
6,DISTRICT,Panipat,Total,1205437,646857,558580,786599,464136,322463
6,DISTRICT,Panipat,Rural,650352,349642,300710,402944,243714,159230
6,DISTRICT,Panipat,Urban,555085,297215,257870,383655,220422,163233
6,DISTRICT,Sonipat,Total,1450001,781299,668702,998316,589881,408435
6,DISTRICT,Sonipat,Rural,996637,538750,457887,665141,400112,265029
6,DISTRICT,Sonipat,Urban,453364,242549,210815,333175,189769,143406
6,DISTRICT,Jind,Total,1334152,713006,621146,832758,502049,330709
6,DISTRICT,Jind,Rural,1028569,550519,478050,617715,377967,239748
6,DISTRICT,Jind,Urban,305583,162487,143096,215043,124082,90961
6,DISTRICT,Fatehabad,Total,942011,495360,446651,557578,327471,230107
6,DISTRICT,Fatehabad,Rural,762423,400814,361609,434531,258814,175717
6,DISTRICT,Fatehabad,Urban,179588,94546,85042,123047,68657,54390
6,DISTRICT,Sirsa,Total,1295189,682582,612607,782897,456968,325929
6,DISTRICT,Sirsa,Rural,975941,514177,461764,559635,331990,227645
6,DISTRICT,Sirsa,Urban,319248,168405,150843,223262,124978,98284
6,DISTRICT,Hisar,Total,1743931,931562,812369,1114311,670200,444111
6,DISTRICT,Hisar,Rural,1190443,634139,556304,714796,439026,275770
6,DISTRICT,Hisar,Urban,553488,297423,256065,399515,231174,168341
6,DISTRICT,Bhiwani,Total,1634445,866672,767773,1069871,643158,426713
6,DISTRICT,Bhiwani,Rural,1313123,696212,616911,840162,511763,328399
6,DISTRICT,Bhiwani,Urban,321322,170460,150862,229709,131395,98314
6,DISTRICT,Rohtak,Total,1061204,568479,492725,747582,436025,311557
